Retailer Code,Retailer Name,Door Code,Door Name,Door Zip Code,Year,Week,UPC,SKU Descreption,POS Units,POS Amount
SEP,SEPHORA CANADA,239887,SEPHORA #0594 GEORGIAN,L4M 4Z8,2018,202018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,1.0,
SEP,SEPHORA CANADA,238745,SEPHORA # 586 ANJOU,H1M 1W9,2018,202018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,1.0,
SEP,SEPHORA CANADA,241089,SEPHORA DOTCA E-COMMERCE,L6T 5A3,2018,202018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,237001,SEPHORA #550 STE-CATHERINE,H3B 5K4,2018,202018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,237002,SEPHORA #568 ROCKLAND,H3P 3E9,2018,202018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,238746,SEPHORA # 584 MARKEVILLE,L3R 4M9,2018,202018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,232135,SEPHORA #536 METROPOLIS,V5H 4P1,2018,202018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,227729,SEPHORA #510 WEST EDM. MALL,T5T 4M2,2018,202018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,228219,SEPHORA #508 BLOOR,M5S 1R1,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,-1.0,
SEP,SEPHORA CANADA,242117,SEPHORA OAKVILLE #864,L6H 3H6,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,-1.0,
SEP,SEPHORA CANADA,236726,SEPHORA #564 KINGSWAY MALL,T5G 3A6,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,2.0,
SEP,SEPHORA CANADA,236727,SEPHORA #566 ST VITAL,R2M 5E5,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,225946,SEPHORA #504 MISSISSAUGA,L5B 2G6,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,240147,SEPHORA #598 DEVONSHIRE,N8X 3Y7,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,240149,SEPHORA #846 ROBSON,V6Z 2V7,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,2.0,
SEP,SEPHORA CANADA,240252,SEPHORA #842 PEN CENTRE,L2T 2K9,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,2.0,
SEP,SEPHORA CANADA,234615,SEPHORA #546 VICTORIA,V8Z 6E3,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,234898,SEPHORA #548 RICHMOND,V6Y 2B6,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,-1.0,
SEP,SEPHORA CANADA,227754,SEPHORA #512 MARKET MALL,T3A 0E2,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,241089,SEPHORA DOTCA E-COMMERCE,L6T 5A3,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,7.0,
SEP,SEPHORA CANADA,237553,SEPHORA #576 LIMERIDGE MALL,L9A 4X5,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,224051,SEPHORA #500 YONGE,M5B 2H1,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,229841,SEPHORA #518 OTTAWA,K1N 9J7,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,238746,SEPHORA # 584 MARKEVILLE,L3R 4M9,2018,202018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,238444,SEPHORA #582 THE CORE,T2P 2Y9,2018,212018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,1.0,
SEP,SEPHORA CANADA,231144,SEPHORA #526 POLO PARK,R3G 0W4,2018,212018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,1.0,
SEP,SEPHORA CANADA,231967,SEPHORA #528 VANCOUVER,V7Y 1G5,2018,212018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,1.0,
SEP,SEPHORA CANADA,231969,SEPHORA #532 STE-FOY,G1V 2L1,2018,212018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,2.0,
SEP,SEPHORA CANADA,241089,SEPHORA DOTCA E-COMMERCE,L6T 5A3,2018,212018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,2.0,
SEP,SEPHORA CANADA,236726,SEPHORA #564 KINGSWAY MALL,T5G 3A6,2018,212018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,1.0,
SEP,SEPHORA CANADA,224677,SEPHORA #502 YORKDALE,M6A 2T9,2018,212018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,231054,SEPHORA #524 FAIRVIEW,M2J 5A7,2018,212018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,2.0,
SEP,SEPHORA CANADA,234614,SEPHORA #544 SHERWAY GARDENS,M9C 1B8,2018,212018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,234898,SEPHORA #548 RICHMOND,V6Y 2B6,2018,212018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,240923,SEPHORA #856 HILLCREST,L4C 5G2,2018,212018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,227753,SEPHORA #514 CHINOOK CENTRE,T2H 0K8,2018,212018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,241839,SEPHORA #858 VAUGHAN MILLS,L4K 5W4,2018,212018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,241872,SEPHORA #860 BRAMALEA,L6T 3R5,2018,212018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,237553,SEPHORA #576 LIMERIDGE MALL,L9A 4X5,2018,212018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,238746,SEPHORA # 584 MARKEVILLE,L3R 4M9,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,225946,SEPHORA #504 MISSISSAUGA,L5B 2G6,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,3.0,
SEP,SEPHORA CANADA,234614,SEPHORA #544 SHERWAY GARDENS,M9C 1B8,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,234898,SEPHORA #548 RICHMOND,V6Y 2B6,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,240773,SEPHORA BOWER PLACE #850,T4R 1N9,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,240774,SEPHORA HIGHSTREET #848,V2T 0C5,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,2.0,
SEP,SEPHORA CANADA,240922,SEPHORA #854 NANAIMO,V9T 4T7,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,240963,SEPHORA #596 AVALON,A1B 1W3,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,2.0,
SEP,SEPHORA CANADA,227729,SEPHORA #510 WEST EDM. MALL,T5T 4M2,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,2.0,
SEP,SEPHORA CANADA,227753,SEPHORA #514 CHINOOK CENTRE,T2H 0K8,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,-1.0,
SEP,SEPHORA CANADA,241089,SEPHORA DOTCA E-COMMERCE,L6T 5A3,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,10.0,
SEP,SEPHORA CANADA,233278,SEPHORA #540 MAPLEVIEW,L7S 2J8,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,2.0,
SEP,SEPHORA CANADA,228219,SEPHORA #508 BLOOR,M5S 1R1,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,-1.0,
SEP,SEPHORA CANADA,236357,SEPHORA #556 HALIFAX,B3L 4N9,2018,212018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
